"nom","annee","groupe","temp_RF_moy","pr_RF_total","neige_pct","gels_RF_total","SMOD_dayofyear","nb_jours_neige_printemps","nb_jours_neige_avril","nb_jours_neige_mai","NDSI_moy_printemps","NDSI_max_printemps","premier_jour_sans_neige","nb_episodes_printemps","pct_donnees_valides","soil_temp_upper_moy","soil_moisture_moy","swe_max","snow_depth_max","etp_total","humidity_moy","solar_radiation_moy","wind_speed_moy","SOD_modis","SMOD_modis","SCD","duree_saison","continuite","NDSI_moy_modis","NDSI_max_modis","NDSI_med","jour_pic_NDSI","vitesse_fonte","nb_redoux","LFD_nival"
"CADI_POP3",2014,"Autres sites",5.22627273344548,960.466376356051,34.5196324143692,83.9804355651872,100,3,3,0,62.3,73,96,2,42.6,12.0446575342466,0.255564383561644,46.1,0.146,934.9,69.5419178082192,1386.01726027397,2.41452054794521,66,220,29,155,0.187096774193548,61.2758620689655,87,61,144,0.336912920465262,10,303
"CADI_POP3",2015,"Autres sites",5.26363073585697,786.558321619992,20.2678571428571,85.4601574910359,98,1,1,0,41,41,91,1,50.8,12.4786301369863,0.249550684931507,78.1,0.372,1023.7,65.5150684931507,1467.83835616438,2.15506849315068,27,245,26,219,0.118721461187215,57.5,85,58.5,220,1.02705314009662,11,297
"CADI_POP3",2016,"Autres sites",4.12075163838815,763.471460928832,33.8161375661376,99.9432182963863,123,6,5,1,52.8,85,107,4,34.4,11.9095628415301,0.243948087431694,19,0.116,950.4,68.9844262295082,1409.95300546448,2.15355191256831,85,240,59,156,0.378205128205128,67.9322033898305,91,68,190,0.256259740259741,6,320
"CADI_POP3",2017,"Autres sites",5.52648275690013,736.228933689459,36.9107744107744,82.624075560622,118,14,14,0,58.7,72,97,5,46.7,12.2501369863014,0.23507397260274,39,0.213,1002,65.8142465753425,1487.04273972603,2.1241095890411,93,253,50,161,0.31055900621118,66.64,93,65.5,168,0.125733200699756,2,304
"CADI_POP3",2018,"Autres sites",4.72058549414422,1111.32576821743,52.7777777777778,91.4001307790363,131,15,13,2,63.3,84,129,8,34.4,11.572602739726,0.256134246575342,31.4,0.124,902.3,70.5249315068493,1360.95917808219,1.88876712328767,60,242,51,183,0.278688524590164,58.8627450980392,83,56,85,0.0828411025193284,9,281
"CADI_POP3",2019,"Autres sites",5.16742038321925,746.298846651497,38.75,88.8146988435114,120,6,6,0,59.8,73,119,4,34.4,12.1501369863014,0.247194520547945,44.8,0.255,1019.8,63.9608219178082,1503.19424657534,1.99232876712329,64,227,51,164,0.310975609756098,63.7254901960784,90,63,154,0.272051109775216,8,286
"CADI_POP3",2020,"Autres sites",4.89352248460628,820.331748642561,34.8842592592593,84.7959965614645,105,5,5,0,57.6,67,106,2,37.7,12.3486338797814,0.26581693989071,39.5,0.172,925.5,69.2232240437158,1371.44371584699,1.75628415300546,66,224,29,159,0.182389937106918,57.9310344827586,83,56,91,0.149452386585519,11,284
"CADI_POP3",2021,"Autres sites",4.41552823508485,619.8424747262,26.6164520034489,94.3730084432364,102,2,2,0,53.5,57,91,2,44.3,11.6460273972603,0.241331506849315,73.2,0.378,898.3,68.6005479452055,1390.81671232877,1.71835616438356,89,228,25,140,0.178571428571429,56.16,72,55,173,0.198291483303132,7,NA
"CADI_POP4",2000,"Autres sites",4.95939155710244,767.464596275947,25.4545454545455,107.619445309047,110,4,4,0,72,76,124,3,21.7,5.81147540983607,0.257095628415301,209.8,0.815,920.2,60.1756830601093,1669.58333333333,2.23415300546448,62,211,54,150,0.36,71.4074074074074,88,74.5,87,0.0351121974672089,3,318
"CADI_POP4",2001,"Autres sites",4.62341395211602,731.687129444167,33.2291666666667,104.772997179798,89,0,0,0,NA,35,91,0,32.8,5.94547945205479,0.246893150684932,356.6,1.021,926.6,60.4838356164384,1689.62191780822,2.29835616438356,80,282,50,203,0.246305418719212,65.98,81,69,82,0.0160746828964303,10,325
"CADI_POP4",2002,"Autres sites",4.74046963868268,850.145452771303,31.5521284271284,105.915278906669,160,10,9,1,70.2,81,119,6,36.7,5.55890410958904,0.264580821917808,199.5,0.795,841.4,64.0243835616438,1600.0301369863,2.10164383561644,74,225,57,152,0.375,70.1754385964912,89,71,79,0.120501231518067,5,321
"CADI_POP4",2003,"Autres sites",4.50122595740309,814.025796475747,43.6405723905724,110.453380004133,103,6,6,0,63.5,76,114,3,34.4,5.76383561643836,0.270545205479452,373.8,1.323,897.7,64.5649315068493,1653.38356164384,1.99698630136986,53,256,64,204,0.313725490196078,70.3125,91,72,106,0.0203103174902789,8,307
"CADI_POP4",2004,"Autres sites",4.68632260657194,721.008586054686,41.3760912290324,118.6904758713,134,11,9,2,74,82,136,7,23,4.88306010928962,0.253754098360656,322.5,0.956,838,64.3486338797814,1616.60218579235,2.03333333333333,63,260,44,198,0.222222222222222,60.4772727272727,79,61,107,0.0300251979501892,9,318
"CADI_POP4",2005,"Autres sites",4.52358963364945,616.004583074333,29.9217796092796,115.895201388326,138,2,1,1,62.5,69,91,2,45.9,4.77287671232877,0.239682191780822,177.2,0.707,816.4,63.4939726027397,1542.91780821918,1.96739726027397,77,206,61,130,0.469230769230769,72.9344262295082,86,75,160,0.330031772792115,1,322
"CADI_POP4",2006,"Autres sites",5.66006425246014,613.446188762163,26.3468013468014,101.325159733735,84,0,0,0,NA,20,92,0,45.9,6.0441095890411,0.241569863013699,246.4,0.974,858.2,63.9449315068493,1566.81506849315,1.98465753424658,100,250,17,151,0.112582781456954,66.1764705882353,82,67,250,NA,6,280
"CADI_POP4",2007,"Autres sites",5.12517719110992,580.027564689722,12.5818917924181,101.760566021182,128,5,3,2,76.8,82,113,5,29.5,5.3786301369863,0.233408219178082,132.1,0.646,833,64.4271232876712,1575.33890410959,2.05178082191781,114,239,31,126,0.246031746031746,64.5806451612903,89,67,237,NA,12,315
"CADI_POP4",2008,"Autres sites",4.50853579261613,898.391008600659,35.1861373920197,112.411898786569,117,7,7,0,73.4,89,96,6,29.5,4.7224043715847,0.237046448087432,237.9,0.886,804,66.7885245901639,1616.13306010929,1.90710382513661,65,245,68,181,0.375690607734807,74.6617647058823,88,77.5,77,0.0919073156576781,2,326
"CADI_POP4",2009,"Autres sites",4.85351170477857,798.473036613387,35.1699770817418,108.563900268756,123,3,1,2,64.3,76,95,2,26.2,5.53945205479452,0.251224657534247,284.9,1.221,917,64.6597260273973,1657.10602739726,2.44438356164384,53,260,51,208,0.245192307692308,71.4117647058823,88,73,200,0.37863196125908,7,322
"CADI_POP4",2010,"Autres sites",3.62402878447443,859.995896311967,38.6885683760684,126.762266472491,138,6,4,2,56.8,72,91,5,29.5,4.12986301369863,0.250397260273973,284.1,1.106,820.9,67.9178082191781,1618.42712328767,2.8841095890411,63,214,40,152,0.263157894736842,64.75,88,67,117,0.0604743813761589,9,328
"CADI_POP4",2011,"Autres sites",5.76700368886998,693.604748345174,21.7204092204092,97.1389391112812,92,2,2,0,62,69,93,0,42.6,6.09890410958904,0.232646575342466,160.6,0.584,908.3,67.4024657534247,1692.57835616438,3.02246575342466,70,230,15,161,0.093167701863354,66.0666666666667,87,70,207,0.266260162601617,6,323
